[2026-01-22T17:50:47.694Z] [INFO] [/] GET / -> 200 (4ms)
[2026-01-22T17:51:08.324Z] [INFO] [/ws-client.html] GET /ws-client.html -> 200 (16ms)
[2026-01-22T17:52:15.133Z] [INFO] [/ws-client.html] GET /ws-client.html -> 200 (0ms)
[2026-01-22T17:52:31.515Z] [INFO] [/ws-client.html] GET /ws-client.html -> 200 (1ms)
[2026-01-22T17:55:13.733Z] [INFO] [/api-docs/] GET /api-docs/ -> 200 (2ms)
[2026-01-22T17:55:13.760Z] [INFO] [/api-docs/swagger-ui-bundle.js] GET /api-docs/swagger-ui-bundle.js -> 304 (3ms)
[2026-01-22T17:55:13.760Z] [INFO] [/api-docs/swagger-ui-init.js] GET /api-docs/swagger-ui-init.js -> 304 (2ms)
[2026-01-22T17:55:13.761Z] [INFO] [/api-docs/swagger-ui.css] GET /api-docs/swagger-ui.css -> 200 (16ms)
[2026-01-22T17:55:13.762Z] [INFO] [/api-docs/swagger-ui-standalone-preset.js] GET /api-docs/swagger-ui-standalone-preset.js -> 304 (5ms)
[2026-01-22T17:55:14.067Z] [INFO] [/api-docs/favicon-32x32.png] GET /api-docs/favicon-32x32.png -> 200 (2ms)
[2026-01-22T17:55:50.081Z] [INFO] [/api-docs/] GET /api-docs/ -> 200 (1ms)
[2026-01-22T17:55:50.098Z] [INFO] [/api-docs/swagger-ui.css] GET /api-docs/swagger-ui.css -> 304 (3ms)
[2026-01-22T17:55:50.105Z] [INFO] [/api-docs/swagger-ui-standalone-preset.js] GET /api-docs/swagger-ui-standalone-preset.js -> 304 (5ms)
[2026-01-22T17:55:50.109Z] [INFO] [/api-docs/swagger-ui-init.js] GET /api-docs/swagger-ui-init.js -> 304 (2ms)
[2026-01-22T17:55:50.110Z] [INFO] [/api-docs/swagger-ui-bundle.js] GET /api-docs/swagger-ui-bundle.js -> 304 (2ms)
[2026-01-22T17:55:50.302Z] [INFO] [/api-docs/favicon-32x32.png] GET /api-docs/favicon-32x32.png -> 200 (2ms)
[2026-01-22T18:00:30.197Z] [INFO] [/api-docs/] GET /api-docs/ -> 200 (1ms)
[2026-01-22T18:00:30.215Z] [INFO] [/api-docs/swagger-ui.css] GET /api-docs/swagger-ui.css -> 304 (1ms)
[2026-01-22T18:00:30.221Z] [INFO] [/api-docs/swagger-ui-bundle.js] GET /api-docs/swagger-ui-bundle.js -> 304 (2ms)
[2026-01-22T18:00:30.227Z] [INFO] [/api-docs/swagger-ui-standalone-preset.js] GET /api-docs/swagger-ui-standalone-preset.js -> 304 (4ms)
[2026-01-22T18:00:30.228Z] [INFO] [/api-docs/swagger-ui-init.js] GET /api-docs/swagger-ui-init.js -> 304 (2ms)
[2026-01-22T18:02:42.242Z] [INFO] [/api-docs/] GET /api-docs/ -> 200 (2ms)
[2026-01-22T18:02:42.313Z] [INFO] [/api-docs/swagger-ui.css] GET /api-docs/swagger-ui.css -> 200 (8ms)
[2026-01-22T18:02:42.320Z] [INFO] [/api-docs/swagger-ui-init.js] GET /api-docs/swagger-ui-init.js -> 200 (3ms)
[2026-01-22T18:02:42.324Z] [INFO] [/api-docs/swagger-ui-standalone-preset.js] GET /api-docs/swagger-ui-standalone-preset.js -> 200 (9ms)
[2026-01-22T18:02:42.328Z] [INFO] [/api-docs/swagger-ui-bundle.js] GET /api-docs/swagger-ui-bundle.js -> 200 (14ms)
